[20, 20]
(0, 0)
(19, 19)
(1, 0, 5, 1)  
(7, 0, 5, 1)
(13, 0, 4, 1)
(7, 1, 4, 1)  
(16, 1, 3, 1)
(0, 2, 5, 1)  
(7, 2, 5, 1)
(13, 2, 5, 1)
(4, 3, 2, 1)
(16, 3, 4, 1)
(1, 4, 2, 1)
(10, 4, 5, 1)
(1, 5, 5, 1)
(7, 5, 7, 1)
(16, 5, 4, 1)
(1, 6, 5, 4)
(7, 6, 7, 2)
(17, 6, 2, 3)
(19, 6, 1, 10)
(15, 7, 1, 1)
(1, 9, 6, 1)
(8, 9, 8, 1)
(10, 10, 7, 3)
(1, 11, 4, 1)
(6, 11, 3, 3)
(2, 13, 1, 3)
(4, 13, 4, 3)
(0, 14, 3, 1)
(8, 14, 8, 1)
(6, 15, 1, 1)
(0, 16, 3, 2)
(4, 16, 4, 1)
(9, 16, 6, 1)
(12, 17, 8, 1)
(16, 17, 3, 1)
(4, 18, 13, 1)
(0, 18, 2, 2)
